Headword,Grammar,Grammar description,Category,Definition,Translation,Example I,Example II,Example III,Learner errors,SkeLL,Internetová jazyková příručka,Note
alergie,noun,feminine,health problems,"imunologická reakce organismu,  například na jídlo, na květiny",alergy,Je to jenom sezonní *alergie* na pyl.  ,Mám *alergii* na kočky. ,Typický symptom *alergie* je rýma. ,#Nemám žádnou alergie.# = Nemám žádnou alergii. ,https://csskell.sketchengine.co.uk//run.cgi/thesaurus?lpos=&query=alergie,http://prirucka.ujc.cas.cz/?slovo=alergie,bla bla
den,noun,maskuline,time expressions,"24 hodin, od rána do večera  ",day,Byl jsem celý *den* doma. ,"Během *dne* pracuju, v noci odpočívám. ",Všichni byli v těchto *dnech* nervózní. ,,https://csskell.sketchengine.co.uk//run.cgi/concordance?lpos=&query=den,http://prirucka.ujc.cas.cz/?slovo=den,bla bla
dobrý den,phrase,Adj + noun,basics,formální univerzální pozdrav ,"Hello, Good day","Dobrý den, pane doktore!","Dobrý den, paní učitelko!","Dobrý den, jak se máte?",#Dobry den!# = Dobrý den!,https://csskell.sketchengine.co.uk//run.cgi/concordance?lpos=&query=dobr%C3%BD+den,,bla bla
pivo ,noun,neutrum,food and drinks,"alkoholický nápoj, který se vaří z vody, chmele (=hop plant) a sladu (=malt)",beer,Koupil dvě láhve českého *piva*. ,Dám si jedno velké *pivo*.,Nejlepší *pivo* je studené. ,#Líbí se mi pivo.# = Chutná mi pivo. ,https://csskell.sketchengine.co.uk//run.cgi/concordance?lpos=&query=pivo,http://prirucka.ujc.cas.cz/?slovo=pivo,bla bla
rýma,noun,feminine,health problems,rinitida,common cold,*Rýma* trvá sedm dní. ,Nejsi nemocný? Nemáš *rýmu*? ,Často chodí do práce s *rýmou*.,,https://csskell.sketchengine.co.uk//run.cgi/wordsketch?lpos=&query=r%C3%BDma,http://prirucka.ujc.cas.cz/?slovo=r%C3%BDma,bla bla
Vídeň,noun,feminine,"traveling, geography ",hlavní město Rakouska,Vienna,Narodil se ve *Vídni*.,Pojedeme autobusem do *Vídně*.,*Vídeň* je krásné město. ,#historický Vídeň# = historická Vídeň,https://csskell.sketchengine.co.uk//run.cgi/concordance?lpos=&query=v%C3%ADde%C5%88,http://prirucka.ujc.cas.cz/?slovo=v%C3%ADde%C5%88,bla bla
